Time,instant_load
2021/8/3 1:33:33,38.79868
2021/8/3 1:38:38,38.84501
2021/8/3 1:43:13,36.38014
2021/8/3 1:48:19,35.66786
2021/8/3 1:53:24,31.64180
2021/8/3 1:58:29,36.57959
2021/8/3 2:03:34,35.33346
2021/8/3 2:08:39,34.42743
2021/8/3 2:13:14,31.76578
2021/8/3 2:18:20,32.37191
2021/8/3 2:23:25,32.82595
2021/8/3 2:28:30,35.55964
2021/8/3 2:33:35,35.53320
2021/8/3 2:38:10,35.55742
2021/8/3 2:43:15,35.62800
2021/8/3 2:48:21,35.97815
2021/8/3 2:53:26,35.86686
2021/8/3 2:58:31,35.70591
2021/8/3 3:03:37,35.39029
2021/8/3 3:08:12,35.57721
2021/8/3 3:13:17,35.24243
2021/8/3 3:18:23,35.15231
2021/8/3 3:23:28,34.99333
2021/8/3 3:28:33,35.08994
2021/8/3 3:33:38,34.50181
2021/8/3 3:38:14,34.41516
2021/8/3 3:43:19,34.31464
2021/8/3 3:48:24,34.02251
2021/8/3 3:53:30,33.96765
2021/8/3 3:58:35,33.66230
2021/8/3 4:03:10,33.39315
2021/8/3 4:08:15,33.72726
2021/8/3 4:13:20,33.98013
2021/8/3 4:18:26,34.46481
2021/8/3 4:23:31,34.81809
2021/8/3 4:28:37,34.72225
2021/8/3 4:33:12,34.52047
2021/8/3 4:38:17,34.12912
2021/8/3 4:43:22,33.91030
2021/8/3 4:48:27,28.84452
2021/8/3 4:53:32,29.30052
2021/8/3 4:58:37,29.16247
2021/8/3 5:03:13,29.80403
2021/8/3 5:08:18,28.68031
2021/8/3 5:13:23,36.36555
2021/8/3 5:18:29,35.78373
2021/8/3 5:23:34,35.89081
2021/8/3 5:28:39,35.66212
2021/8/3 5:33:14,36.45671
2021/8/3 5:38:20,37.72783
2021/8/3 5:43:25,38.40938
2021/8/3 5:48:30,38.60658
2021/8/3 5:53:36,39.24104
2021/8/3 5:58:11,39.61025
2021/8/3 6:03:16,40.02454
2021/8/3 6:08:21,39.04836
2021/8/3 6:13:27,37.74710
2021/8/3 6:18:32,36.46939
2021/8/3 6:23:38,31.59407
2021/8/3 6:28:13,35.23966
2021/8/3 6:33:18,35.24284
2021/8/3 6:38:24,35.03529
2021/8/3 6:43:29,34.43968
2021/8/3 6:48:34,34.31661
2021/8/3 6:53:40,31.84900
2021/8/3 6:58:15,30.77236
2021/8/3 7:03:20,30.48594
2021/8/3 7:08:26,30.48048
2021/8/3 7:13:31,30.34071
2021/8/3 7:18:36,30.69371
2021/8/3 7:23:12,32.96287
